type	wavelength of EL (angstroms)	EL flux (erg/cm^2/s)	continuum flux density	EW observed
LAE	3.8068e+03	8.4388e-17	2.4160e-01	1.6884e+02
OII	4.1146e+03	4.7150e-15	1.2832e+04	2.0750e-01
LAE	4.0547e+03	5.0157e-17	2.8060e-01	9.8028e+01
LAE	4.1113e+03	5.8521e-17	2.3590e-01	1.3987e+02
LAE	4.0855e+03	1.0287e-16	6.9240e-01	8.2717e+01
LAE	3.9208e+03	7.7133e-17	4.4600e-02	8.8683e+02
OII	4.0254e+03	1.2268e-16	4.3681e+01	1.5180e+00
LAE	4.0144e+03	6.2010e-17	1.6190e-01	2.0589e+02
LAE	4.1305e+03	2.0295e-16	3.5555e+01	3.2485e+00
LAE	3.9448e+03	5.3164e-17	2.6010e-01	1.0610e+02
LAE	3.9357e+03	5.5460e-17	4.8770e-01	5.8757e+01
LAE	4.1031e+03	1.3324e-16	4.2230e-01	1.7718e+02
OII	4.1134e+03	4.6428e-17	4.4955e+01	5.8290e-01
OII	4.1494e+03	5.7821e-17	2.8935e+00	1.1477e+01
LAE	4.0774e+03	5.4443e-17	9.1600e-02	3.2961e+02
LAE	3.9389e+03	8.9209e-17	3.8877e+00	1.1876e+01
LAE	4.0712e+03	5.9011e-17	1.6220e-01	2.0115e+02
OII	4.0613e+03	3.2909e-15	1.2849e+02	1.4092e+01
LAE	3.8919e+03	5.6320e-17	4.5560e+00	6.2457e+00
LAE	4.1942e+03	5.7018e-17	1.4740e-01	2.2698e+02
LAE	3.9540e+03	5.8869e-17	4.1740e-01	7.3552e+01
LAE	3.9673e+03	9.0415e-17	8.4620e-01	5.6096e+01
LAE	3.8422e+03	6.3797e-17	4.9660e-01	6.3259e+01
LAE	3.9154e+03	6.9766e-17	6.7290e-01	5.3018e+01
LAE	3.8216e+03	1.0417e-16	8.8420e-01	5.7393e+01
OII	3.9061e+03	4.9703e-15	3.7293e+02	6.7832e+00
LAE	3.8667e+03	8.3324e-17	2.3240e-01	1.7881e+02
LAE	4.1725e+03	7.2880e-17	3.6790e-01	1.1504e+02
LAE	4.1938e+03	9.2970e-17	2.9514e+00	1.8480e+01
OII	4.1724e+03	2.7212e-16	1.0310e+01	1.5327e+01
LAE	3.8437e+03	7.7681e-17	2.0420e-01	1.8747e+02
OII	4.0195e+03	1.5342e-16	6.0677e+00	1.3627e+01
LAE	4.1498e+03	1.3287e-16	4.9510e-01	1.5416e+02
LAE	3.9522e+03	5.9327e-17	2.7686e+00	1.1165e+01
LAE	3.9105e+03	5.9517e-17	4.4920e-01	6.7585e+01
LAE	4.1931e+03	7.6293e-17	1.2170e-01	3.6766e+02
LAE	4.1087e+03	4.9197e-17	5.2930e-01	5.2338e+01
LAE	3.9980e+03	8.2775e-17	9.2450e-01	4.7737e+01
LAE	4.0018e+03	1.0426e-16	1.7640e-01	3.1572e+02
LAE	3.9720e+03	8.0293e-17	5.2390e-01	8.0656e+01
LAE	3.9498e+03	5.2035e-17	1.8340e-01	1.4765e+02
LAE	3.8305e+03	2.3879e-16	6.6030e-01	1.7699e+02
OII	4.1661e+03	1.5119e-16	7.7363e+01	1.1314e+00
LAE	3.9102e+03	1.2938e-16	8.1020e-01	8.1441e+01
LAE	3.8105e+03	9.8341e-17	2.3389e+00	2.0365e+01
OII	4.1456e+03	1.2148e-16	1.2585e+01	5.5336e+00
LAE	3.9198e+03	8.0576e-17	1.8940e+00	2.1804e+01
LAE	4.0867e+03	6.3106e-17	2.3950e-01	1.4679e+02
LAE	3.9927e+03	5.7326e-17	5.9200e-02	5.1492e+02
LAE	4.0565e+03	5.3294e-17	4.4800e-02	6.5296e+02
LAE	3.8813e+03	5.6810e-17	8.7110e-01	3.2771e+01
LAE	4.0828e+03	4.8292e-17	4.7270e-01	5.6806e+01
OII	4.0308e+03	2.0971e-16	1.5017e+01	7.5680e+00
LAE	4.0331e+03	7.0288e-17	3.0887e+00	1.2347e+01
OII	4.1059e+03	7.6863e-16	8.4381e+01	5.1223e+00
OII	4.1769e+03	1.5958e-15	1.2862e+03	7.2200e-01
LAE	3.9123e+03	7.0539e-17	1.9840e-01	1.8153e+02
LAE	4.0430e+03	5.2868e-17	1.2040e-01	2.3942e+02
OII	3.9177e+03	1.0806e-16	8.0603e+00	6.8636e+00
LAE	4.0724e+03	6.8129e-17	2.8550e-01	1.3201e+02
LAE	4.1267e+03	1.3457e-16	9.1810e-01	8.3260e+01
LAE	4.1443e+03	7.3762e-17	3.9120e-01	1.0802e+02
LAE	3.9127e+03	7.0501e-17	1.4464e+00	2.4891e+01
OII	3.8341e+03	1.7024e-16	6.9844e+00	1.1952e+01
LAE	4.1562e+03	7.1090e-17	4.2350e-01	9.6724e+01
OII	4.1967e+03	1.0671e-15	1.8900e+02	3.3170e+00
LAE	4.1159e+03	4.6137e-17	2.0560e-01	1.2680e+02
LAE	4.0455e+03	1.0343e-16	4.6400e-02	1.2169e+03
LAE	3.8576e+03	1.5062e-16	9.6760e-01	7.7269e+01
OII	4.0818e+03	1.7900e-15	7.8969e+01	1.2597e+01
LAE	3.8786e+03	8.9169e-17	2.9490e-01	1.5173e+02
LAE	3.8597e+03	7.1161e-17	1.0760e-01	3.2864e+02
LAE	4.1120e+03	4.8185e-17	2.9930e-01	9.0802e+01
LAE	3.8856e+03	5.2579e-17	3.2790e-01	8.0752e+01
LAE	3.9847e+03	4.9731e-17	8.7200e-02	3.0205e+02
LAE	4.1970e+03	4.8186e-17	2.2490e-01	1.2589e+02
LAE	4.0889e+03	5.2077e-17	6.6180e-01	4.3885e+01
LAE	3.9185e+03	5.7124e-17	3.1730e-01	9.2210e+01
LAE	3.9193e+03	7.2239e-17	1.6020e-01	2.3104e+02
OII	3.9554e+03	1.2769e-16	4.2700e+03	1.5600e-02
LAE	4.0306e+03	9.9780e-17	1.3721e+00	3.9407e+01
LAE	3.8841e+03	1.0847e-16	1.9170e-01	2.8474e+02
LAE	3.9600e+03	6.6992e-17	1.0810e-01	3.2417e+02
OII	4.0226e+03	3.3062e-15	2.1124e+02	8.4481e+00
LAE	4.0952e+03	6.9790e-17	1.4100e-02	2.7689e+03
OII	4.0977e+03	1.4700e-16	1.7222e+01	4.7806e+00
LAE	3.9918e+03	7.0177e-17	2.0800e-01	1.7933e+02
OII	4.1961e+03	1.8215e-16	1.7580e+01	6.0853e+00
LAE	3.8601e+03	1.6370e-16	2.5040e-01	3.2494e+02
LAE	4.1176e+03	1.3714e-16	2.7015e+00	2.8709e+01
OII	4.1071e+03	3.8590e-16	1.0023e+01	2.1664e+01
LAE	4.1963e+03	4.9367e-17	7.5910e-01	3.8199e+01
